net,length_um
_0008_,4.56
_0364_,4.56
_0510_,4.56
_0095_,4.54
_0104_,4.53
_0001_,4.49
net62,4.48
_0185_,4.46
_0243_,4.46
_0527_,4.46
_0639_,4.46
_0819_,4.46
_0829_,4.46
_0840_,4.46
net96,4.46
net121,4.46
_0492_,4.44
_0507_,4.42
_0780_,4.42
_0786_,4.42
_0792_,4.42
_0867_,4.42
_0907_,4.42
_0909_,4.42
_0005_,4.39
_0096_,4.37
_0783_,4.36
_0782_,4.345
_0259_,4.34
_0814_,4.34
_0056_,4.32
_0124_,4.32
_0209_,4.305
_0675_,4.24
_0820_,4.24
_0098_,4.22
_0116_,4.15
_0841_,4.14
net94,4.14
net132,4.14
net150,4.14
_0250_,4.12
_0014_,4.1
_0426_,4.1
_0220_,4.08
_0566_,4.02
_0766_,4.02
_0170_,4
_0180_,4
_0196_,4
_0232_,4
_0239_,4
_0256_,4
_0392_,4
_0937_,4
rf_inst.registers\[30\]\[14\],3.885
_0224_,3.88
_0446_,3.88
_0472_,3.88
_0724_,3.88
_0770_,3.88
_0808_,3.88
_0844_,3.88
_0922_,3.88
_0923_,3.88
_0042_,3.76
_0099_,3.76
_0195_,3.76
_0199_,3.76
_0253_,3.76
_0691_,3.68
_0758_,3.68
net80,3.68
net123,3.68
_0139_,3.66
_0164_,3.66
_0221_,3.66
_0230_,3.66
_0244_,3.66
_0245_,3.66
_0258_,3.66
_0589_,3.66
_0789_,3.66
rf_inst.registers\[30\]\[11\],3.64
_0018_,3.59
_0879_,3.56
_0038_,3.54
_0135_,3.54
_0165_,3.54
_0167_,3.54
_0168_,3.54
_0173_,3.54
_0184_,3.54
_0219_,3.54
_0236_,3.54
_0249_,3.54
_0862_,3.54
net49,3.44
_0376_,3.42
_0509_,3.42
_0548_,3.42
_0936_,3.42
net50,3.42
net104,3.42
net116,3.42
_0084_,3.4
net69,3.32
net74,3.32
net93,3.32
rf_inst.registers\[30\]\[16\],3.305
_0013_,3.3
_0068_,3.3
net68,3.22
net90,3.22
net125,3.22
_0141_,3.2
_0177_,3.2
_0189_,3.2
_0208_,3.2
_0211_,3.2
_0225_,3.2
_0226_,3.2
_0242_,3.2
_0254_,3.2
_0255_,3.2
_0092_,3.18
_0158_,3.18
_0193_,3.18
_0062_,3.13
_0910_,3.1
net57,3.1
_0144_,3.08
_0150_,3.08
_0201_,3.08
_0202_,3.08
_0222_,3.08
_0223_,3.08
_0228_,3.08
_0394_,3.08
net60,3.08
net100,3.08
net108,3.08
_0572_,2.98
